,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
0,20100101,21.4,30.2,27.1,82.0,9.0,0.5,7.0,90.0,5.0
1,20100102,21.0,29.6,25.7,95.0,24.0,0.2,6.0,90.0,4.0
2,20100103,20.2,26.8,24.5,98.0,63.0,0.0,5.0,90.0,4.0
3,20100104,21.0,29.2,25.8,90.0,0.0,0.1,4.0,225.0,3.0
4,20100105,21.2,30.0,26.7,90.0,2.0,0.4,6.5,157.5,2.0
5,20100106,21.2,30.0,26.1,93.0,11.0,0.3,7.5,67.5,1.0
6,20100107,21.4,29.0,25.4,96.0,2.0,0.1,4.0,67.5,1.0
7,20100108,21.8,29.8,26.8,91.0,3.0,0.6,5.0,90.0,4.0
8,20100109,21.8,30.2,26.7,92.0,3.0,0.7,4.0,90.0,3.0
9,20100110,20.0,30.2,27.1,88.0,28.0,0.6,5.0,90.0,4.0
10,20100111,20.0,30.2,25.7,92.0,4.0,0.6,4.0,90.0,3.0
11,20100112,23.4,30.2,27.3,85.0,0.0,0.6,3.0,45.0,3.0
12,20100113,21.8,30.2,26.9,82.0,0.0,0.2,4.0,90.0,3.0
13,20100114,22.0,30.0,26.3,87.0,3.0,0.6,11.0,90.0,4.0
14,20100115,22.4,29.8,26.4,88.0,1.0,0.4,8.0,90.0,7.0
15,20100116,22.8,29.8,27.4,82.0,0.0,0.6,8.0,90.0,7.0
16,20100117,22.2,30.8,27.5,80.0,0.0,0.6,8.0,90.0,6.0
17,20100118,21.8,30.4,26.7,89.0,0.0,0.6,4.0,90.0,3.0
18,20100119,20.4,29.8,25.9,95.0,22.0,0.2,3.0,90.0,3.0
19,20100120,20.4,29.8,26.1,88.0,0.0,0.6,3.0,90.0,3.0
20,20100121,20.2,30.0,25.5,92.0,0.0,0.4,6.0,157.5,2.5
21,20100122,20.2,29.8,25.8,92.0,14.0,0.6,5.0,90.0,4.0
22,20100123,20.1,30.8,27.2,90.0,0.0,0.6,6.0,90.0,4.0
23,20100124,20.2,29.0,25.9,92.0,7.0,0.4,6.0,90.0,5.0
24,20100125,20.2,29.8,26.8,86.0,0.0,0.3,8.0,90.0,5.0
25,20100126,22.2,30.4,27.5,86.0,0.0,0.6,7.0,90.0,5.0
26,20100127,20.0,30.0,26.9,88.0,3.0,0.3,9.0,90.0,7.0
27,20100128,21.6,30.0,26.9,89.0,6.0,0.4,7.0,90.0,5.0
28,20100129,21.6,30.2,27.5,85.0,0.0,0.6,6.0,90.0,5.0
29,20100130,21.0,30.4,26.4,89.0,0.0,0.6,6.0,90.0,4.0
30,20100131,22.0,31.0,26.8,87.0,0.0,0.6,6.0,90.0,4.0
31,20100201,23.0,30.0,27.2,86.0,0.0,0.6,5.0,90.0,4.0
32,20100202,20.4,31.0,27.5,87.0,0.0,0.6,8.0,90.0,5.0
33,20100203,21.0,30.4,27.2,85.0,0.0,0.6,4.0,90.0,4.0
34,20100204,21.0,30.6,26.6,88.0,0.0,0.6,4.5,247.5,2.0
35,20100205,20.8,31.0,26.5,88.0,0.0,0.6,4.0,90.0,3.0
36,20100206,21.0,31.2,27.0,84.0,0.0,0.6,4.0,90.0,3.0
37,20100207,23.2,31.2,27.5,85.0,0.0,0.6,6.0,90.0,4.0
38,20100208,23.2,31.6,27.8,86.0,0.0,0.6,5.0,90.0,4.0
39,20100209,23.4,31.2,27.8,87.0,0.0,0.5,4.0,90.0,3.0
40,20100210,22.8,31.0,27.7,89.0,2.0,0.1,5.0,90.0,4.0
41,20100211,22.6,32.0,27.6,89.0,0.0,0.6,7.0,90.0,5.0
42,20100212,22.8,30.8,27.2,90.0,0.0,0.5,4.0,90.0,4.0
43,20100213,23.0,30.9,28.3,82.0,0.0,0.2,7.0,90.0,6.0
44,20100214,22.0,31.6,28.3,86.0,0.0,0.6,6.0,90.0,5.0
45,20100215,22.0,31.8,26.9,88.0,0.0,0.4,8.0,90.0,4.0
46,20100216,22.2,31.6,28.3,80.0,0.0,0.5,9.0,90.0,7.0
47,20100217,22.2,31.6,27.3,86.0,0.0,0.4,7.0,90.0,4.0
48,20100218,22.4,32.4,28.3,87.0,0.0,0.4,10.0,90.0,6.0
49,20100219,21.0,32.4,28.3,81.0,0.0,0.4,10.0,90.0,6.0
50,20100220,20.2,31.8,26.4,87.0,0.0,0.3,5.0,90.0,4.0
51,20100221,21.2,31.2,26.5,86.0,0.0,0.0,4.0,157.5,2.0
52,20100222,21.2,31.8,27.6,86.0,0.0,0.5,8.0,90.0,5.0
53,20100223,19.6,30.8,27.0,90.0,29.0,0.2,8.0,157.5,3.0
54,20100224,22.8,30.8,26.9,87.0,0.0,0.2,10.0,225.0,6.0
55,20100225,22.2,32.0,27.3,86.0,0.0,0.6,6.0,270.0,4.0
56,20100226,22.4,31.2,27.6,86.0,0.0,0.6,4.0,45.0,3.0
57,20100227,22.4,30.8,27.7,89.0,10.0,0.5,4.0,90.0,4.0
58,20100228,21.2,29.2,26.6,94.0,14.0,0.1,7.5,157.5,2.0
59,20100301,22.2,30.0,26.4,93.0,6.0,0.1,3.0,45.0,3.0
60,20100302,22.8,31.2,27.4,89.0,0.0,0.6,4.0,45.0,3.0
61,20100303,22.4,32.2,27.8,88.0,2.0,0.6,6.0,90.0,5.0
62,20100304,22.4,31.8,28.2,87.0,0.0,0.3,5.0,247.5,2.0
63,20100305,22.0,31.2,27.4,92.0,0.0,0.5,4.0,360.0,4.0
64,20100306,22.0,31.4,27.2,87.0,0.0,0.6,4.0,45.0,3.0
65,20100307,22.0,31.0,27.3,82.0,0.0,0.6,3.0,360.0,3.0
66,20100308,21.8,30.8,27.1,84.0,0.0,0.6,3.0,45.0,3.0
67,20100309,21.8,31.8,27.4,88.0,1.0,0.5,6.5,202.5,2.5
68,20100310,22.2,30.2,25.6,93.0,6.0,0.2,3.0,90.0,3.0
69,20100311,24.0,30.6,28.1,85.0,0.0,0.6,8.0,90.0,6.0
70,20100312,21.0,30.6,28.2,82.0,7.0,0.3,7.0,90.0,5.0
71,20100313,21.6,30.4,26.1,90.0,3.0,0.4,5.0,90.0,4.0
72,20100314,21.0,30.6,27.1,91.0,37.0,0.5,4.0,90.0,4.0
73,20100315,21.0,30.0,25.9,94.0,2.0,0.0,4.0,90.0,4.0
74,20100316,22.6,30.8,27.5,86.0,0.0,0.6,5.0,90.0,4.0
75,20100317,22.8,31.6,28.1,84.0,0.0,0.3,9.0,90.0,6.0
76,20100318,23.0,30.8,27.9,84.0,0.0,0.6,10.0,90.0,8.0
77,20100319,20.4,29.8,27.5,88.0,8.0,0.3,7.0,90.0,5.0
78,20100320,22.4,30.6,27.9,89.0,0.0,0.6,4.0,90.0,3.0
79,20100321,24.4,30.8,27.9,87.0,0.0,0.6,4.0,90.0,3.0
80,20100322,22.0,31.6,28.3,88.0,0.0,0.4,3.0,45.0,3.0
81,20100323,22.4,30.8,27.2,89.0,0.0,0.2,4.0,90.0,4.0
82,20100324,22.0,31.6,27.9,91.0,14.0,0.4,7.0,90.0,5.0
83,20100325,22.0,30.8,27.7,92.0,0.0,0.3,8.0,270.0,6.0
84,20100326,23.2,30.8,27.5,89.0,0.0,0.5,6.0,90.0,4.0
85,20100327,22.4,31.8,28.2,89.0,0.0,0.6,4.0,90.0,3.0
86,20100328,22.2,29.4,26.6,92.0,0.0,0.1,5.0,67.5,1.0
87,20100329,22.4,31.0,27.2,91.0,0.0,0.3,6.0,90.0,4.0
88,20100330,22.0,31.2,27.6,89.0,0.0,0.2,4.0,90.0,4.0
89,20100331,22.0,31.2,27.3,86.0,0.0,0.4,3.0,90.0,3.0
90,20100401,20.2,29.2,25.6,95.0,16.0,0.0,10.0,90.0,5.0
91,20100402,21.4,31.0,27.1,90.0,4.0,0.4,3.0,45.0,3.0
92,20100403,21.6,29.6,26.3,93.0,12.0,0.2,5.0,90.0,4.0
93,20100404,24.2,30.8,28.4,88.0,0.0,0.6,4.0,90.0,4.0
94,20100405,23.0,31.2,29.0,88.0,0.0,0.5,6.0,90.0,5.0
95,20100406,23.0,32.2,28.3,87.0,0.0,0.6,3.0,90.0,3.0
96,20100407,23.4,31.8,28.8,89.0,1.0,0.6,7.0,90.0,5.0
97,20100408,22.4,31.4,27.5,90.0,5.0,0.2,3.0,90.0,3.0
98,20100409,22.4,31.8,28.0,88.0,0.0,0.3,6.0,360.0,1.0
99,20100410,23.0,32.0,27.9,91.0,0.0,0.3,4.5,247.5,1.0
100,20100411,23.0,33.0,28.4,89.0,0.0,0.6,4.0,270.0,3.0
101,20100412,22.8,33.0,29.2,84.0,0.0,0.6,4.0,360.0,3.0
102,20100413,22.8,32.4,28.4,91.0,0.0,0.2,5.0,247.5,1.5
103,20100414,24.6,32.4,29.3,88.0,0.0,0.4,4.0,90.0,3.0
104,20100415,23.2,31.6,29.4,87.0,0.0,0.1,4.5,247.5,1.5
105,20100416,23.0,33.6,28.5,90.0,0.0,0.4,5.5,247.5,1.5
106,20100417,23.0,32.6,29.1,84.0,0.0,0.2,6.0,157.5,1.0
107,20100418,23.0,32.6,28.5,87.0,0.0,0.2,5.0,247.5,1.5
108,20100419,23.6,33.8,29.0,85.0,0.0,0.2,4.0,225.0,3.0
109,20100420,23.0,34.0,29.1,86.0,0.0,0.6,3.0,270.0,3.0
110,20100421,23.2,33.8,30.1,82.0,0.0,0.6,7.0,247.5,1.0
111,20100422,23.2,33.2,29.5,86.0,0.0,0.6,4.0,247.5,1.0
112,20100423,23.2,32.8,28.4,90.0,0.0,0.3,7.0,225.0,1.0
113,20100424,23.8,32.2,28.4,88.0,0.0,0.2,5.0,90.0,5.0
114,20100425,24.0,33.0,29.9,86.0,0.0,0.6,7.0,90.0,5.0
115,20100426,21.8,33.2,28.2,89.0,24.0,0.4,7.0,225.0,1.5
116,20100427,21.8,29.6,26.4,91.0,0.0,0.0,7.0,90.0,5.0
117,20100428,21.6,31.8,27.8,90.0,0.0,0.3,9.0,247.5,1.5
118,20100429,23.6,32.2,27.8,89.0,0.0,0.5,3.0,180.0,3.0
119,20100430,21.0,32.2,28.0,91.0,14.0,0.3,5.0,90.0,4.0
120,20100501,20.8,31.8,26.4,92.0,3.0,0.3,5.0,90.0,3.0
121,20100502,24.8,31.6,28.7,87.0,3.0,0.6,5.0,90.0,4.0
122,20100503,23.8,30.2,28.0,92.0,0.0,0.2,5.0,90.0,4.0
123,20100504,23.4,32.2,28.7,86.0,0.0,0.4,5.5,247.5,2.0
124,20100505,24.0,32.4,29.3,86.0,0.0,0.6,4.5,225.0,1.0
125,20100506,21.2,31.4,27.8,92.0,13.0,0.3,6.0,247.5,1.5
126,20100507,24.8,32.0,29.0,89.0,0.0,0.6,5.0,135.0,1.0
127,20100508,24.0,33.0,29.4,88.0,8.0,0.6,6.0,90.0,5.0
128,20100509,23.0,32.8,28.7,92.0,14.0,0.2,4.0,225.0,3.0
129,20100510,23.0,33.0,26.8,95.0,5.0,0.0,5.0,270.0,4.0
130,20100511,23.4,33.2,28.6,91.0,0.0,0.6,5.0,135.0,1.0
131,20100512,23.4,32.6,28.9,88.0,0.0,0.5,6.0,247.5,2.0
132,20100513,23.6,32.4,28.4,90.0,0.0,0.4,7.0,135.0,2.0
133,20100514,23.6,33.4,28.8,86.0,0.0,0.6,5.0,270.0,4.0
134,20100515,23.2,33.8,28.6,84.0,0.0,0.4,5.0,90.0,4.0
135,20100516,22.6,31.8,28.7,77.0,2.0,0.0,8.0,225.0,6.0
